name,rank,matches,wins,losses,draws,year
Brian Walsh,75,10,0,10,0,1995
Matt Hardy,76,10,0,10,0,1995
Mike Khoury,77,10,0,10,0,1995
Nick Barberi,78,10,0,10,0,1995
Sycho Sid,79,9,0,9,0,1995
Jeff Hardy,80,8,1,7,0,1995
Jerry Flynn,81,8,0,8,0,1995
Leroy Howard,82,8,0,8,0,1995
Sonny Rogers,83,8,1,7,0,1995
Tony Roy,84,8,1,7,0,1995
Phil Apollo,85,7,0,7,0,1995
Reno Riggins,86,7,0,7,0,1995
Tim McNeany,87,7,0,7,0,1995
AC Conner,88,6,0,6,0,1995
Bert Centeno,89,6,0,6,0,1995
Charlie Hunter,90,6,0,6,0,1995
David Haskins,91,6,0,6,0,1995
Ken Raper,92,6,0,6,0,1995
Kenny Kendall,93,6,0,6,0,1995
Mark Starr,94,6,0,6,0,1995
Reginald Walker,95,6,0,6,0,1995
Virgil,96,6,0,6,0,1995
Avatar,97,5,4,1,0,1995
Ben Jordan,98,5,0,5,0,1995
Butch Long,99,5,0,5,0,1995
Duane Gill,100,5,0,5,0,1995
Hunter Hearst Helmsley,1,185,56,129,0,1996
Goldust,2,173,46,124,3,1996
Shawn Michaels,3,172,159,10,3,1996
Owen Hart,4,171,78,93,0,1996
Savio Vega,5,168,97,65,6,1996
The Undertaker,6,167,143,21,3,1996
Henry O. Godwinn,7,164,82,81,1,1996
The British Bulldog,8,162,66,93,3,1996
Phineas I. Godwinn,9,153,78,74,1,1996
Steve Austin,10,150,95,52,3,1996
Vader,11,145,35,103,7,1996
Justin Bradshaw,12,143,78,64,1,1996
Marc Mero,13,139,109,28,2,1996
Bart Gunn,14,132,53,72,7,1996
Billy Gunn,15,127,60,60,7,1996
Mankind,16,122,25,95,2,1996
Ahmed Johnson,17,107,94,12,1,1996
Jake Roberts,18,102,56,45,1,1996
Bob Holly,19,98,17,81,0,1996
Zip,20,96,51,45,0,1996
Leif Cassidy,21,95,14,80,1,1996
Sycho Sid,22,95,82,11,2,1996
Skip,23,92,49,43,0,1996
Marty Jannetty,24,89,14,74,1,1996
Aldo Montoya,25,77,13,64,0,1996
Bret Hart,26,76,67,6,3,1996
Yokozuna,27,70,35,34,1,1996
Duke Droese,28,68,36,32,0,1996
Barry Horowitz,29,60,11,49,0,1996
The 1-2-3 Kid,30,50,8,42,0,1996
Butch,31,48,39,9,0,1996
Luke,32,48,39,9,0,1996
Faarooq,33,45,29,14,2,1996
The Stalker,34,44,34,9,1,1996
Diesel,35,43,11,32,0,1996
Isaac Yankem DDS,36,43,4,39,0,1996
Razor Ramon,37,38,18,20,0,1996
The Sultan,38,38,33,5,0,1996
Crush,39,37,28,6,3,1996
Jason Grimm,40,37,13,17,7,1996
Jared Grimm,41,36,13,16,7,1996
Jerry Lawler,42,36,13,23,0,1996
Tatanka,43,30,6,24,0,1996
The Ultimate Warrior,44,29,27,0,2,1996
Salvatore Sincere,45,27,10,17,0,1996
Razor Ramon,46,25,12,12,1,1996
Fatu,47,24,12,11,1,1996
The Ringmaster,48,24,20,4,0,1996
Freddie Joe Floyd,49,22,9,13,0,1996
Diesel,50,21,12,8,1,1996
Bob Backlund,51,19,2,17,0,1996
Alex Porteau,52,17,3,14,0,1996
Doug Furnas,53,17,17,0,0,1996
Jesse Jammes,54,17,8,9,0,1996
Philip LaFon,55,17,17,0,0,1996
TL Hopper,56,17,3,14,0,1996
Jeff Jarrett,57,16,0,16,0,1996
The Brooklyn Brawler,58,13,0,13,0,1996
Zebekiah,59,13,0,13,0,1996
Rocky Maivia,60,12,10,2,0,1996
Dr. X,61,11,0,11,0,1996
Hakushi,62,11,1,10,0,1996
Jason Ahrndt,63,10,2,8,0,1996
Carl LeDuc,64,9,3,6,0,1996
Jim Cornette,65,9,1,7,1,1996
Jose Lothario,66,9,7,1,1,1996
The Goon,67,9,2,7,0,1996
Flash Funk,68,8,6,1,1,1996
Brakus,69,7,7,0,0,1996
David Haskins,70,7,0,7,0,1996
Marty Garner,71,7,1,6,0,1996
Matt Hardy,72,7,1,6,0,1996
Frank Stalletto,73,6,1,5,0,1996
Scott Taylor,74,6,1,5,0,1996
The Executioner,75,6,4,2,0,1996
Who,76,6,1,5,0,1996
Avatar,77,5,1,4,0,1996
Jeff Hardy,78,5,0,5,0,1996
Tim Patterson,79,5,0,5,0,1996
Brian Walsh,80,4,0,4,0,1996
Lou Marconi,81,4,0,4,0,1996
Pierroth,82,4,3,1,0,1996
Roddy Piper,83,4,3,0,1,1996
Samu,84,4,0,4,0,1996
The Tahitian Warrior,85,4,0,4,0,1996
Tony Williams,86,4,1,3,0,1996
Billy Two Eagles,87,3,0,3,0,1996
Buddy Wayne,88,3,0,3,0,1996
Cibernetico,89,3,2,1,0,1996
Don Callis,90,3,0,3,0,1996
Faarooq Asad,91,3,2,0,1,1996
Guido Falcone,92,3,0,3,0,1996
Hector Garza,93,3,3,0,0,1996
Jerry Fox,94,3,0,3,0,1996
Mike Diamond,95,3,0,3,0,1996
Travis,96,3,0,3,0,1996
Troy,97,3,0,3,0,1996
Argo,98,2,2,0,0,1996
Bert Centeno,99,2,0,2,0,1996
Chris Harris,100,2,0,2,0,1996
Owen Hart,1,175,72,99,4,1997
The Undertaker,2,173,135,28,10,1997
The British Bulldog,3,150,62,85,3,1997
Flash Funk,4,149,47,101,1,1997
Savio Vega,5,147,49,95,3,1997
Goldust,6,145,69,74,2,1997
Hunter Hearst Helmsley,7,145,72,71,2,1997
Vader,8,139,56,76,7,1997
Faarooq,9,137,60,74,3,1997
Phineas I. Godwinn,10,137,68,61,8,1997
Crush,11,130,74,51,5,1997
Henry O. Godwinn,12,127,69,50,8,1997
Thrasher,13,126,50,71,5,1997
Mosh,14,123,47,71,5,1997
Mankind,15,122,60,59,3,1997
Bret Hart,16,121,47,69,5,1997
Rocky Maivia,17,116,60,54,2,1997
Steve Austin,18,116,79,32,5,1997
Ahmed Johnson,19,113,81,31,1,1997
Road Warrior Hawk,20,99,75,17,7,1997
Road Warrior Animal,21,95,72,16,7,1997
Ken Shamrock,22,94,79,13,2,1997
Blackjack Bradshaw,23,89,34,53,2,1997
Blackjack Windham,24,85,33,52,0,1997
Rockabilly,25,78,39,38,1,1997
D-Lo Brown,26,75,18,55,2,1997
The Sultan,27,74,22,52,0,1997
Jesse Jammes,28,73,23,50,0,1997
Kama Mustafa,29,71,27,40,4,1997
Philip LaFon,30,71,30,40,1,1997
Doug Furnas,31,69,29,39,1,1997
Chainz,32,68,39,26,3,1997
Miguel Perez,33,64,20,43,1,1997
Brian Pillman,34,61,25,36,0,1997
Leif Cassidy,35,57,17,39,1,1997
Marc Mero,36,56,38,17,1,1997
Bob Holly,37,55,13,42,0,1997
Dude Love,38,55,43,12,0,1997
Sycho Sid,39,54,37,15,2,1997
Shawn Michaels,40,53,27,22,4,1997
Billy Gunn,41,51,30,20,1,1997
8-Ball,42,50,31,18,1,1997
Skull,43,48,32,15,1,1997
Brian Christopher,44,44,34,10,0,1997
Jim Neidhart,45,42,13,29,0,1997
Scott Taylor,46,40,14,26,0,1997
Triple H,47,39,6,31,2,1997
Aldo Montoya,48,38,9,28,1,1997
Jose Estrada,49,38,14,24,0,1997
The Road Dogg,50,37,25,11,1,1997
The Patriot,51,36,23,13,0,1997
Salvatore Sincere,52,35,6,29,0,1997
Jesus Castillo,53,29,10,19,0,1997
Bart Gunn,54,26,11,14,1,1997
The Rock,55,24,5,19,0,1997
Recon,56,23,16,6,1,1997
Kane,57,21,20,0,1,1997
Brakus,58,20,17,3,0,1997
Jerry Lawler,59,20,12,7,1,1997
Taka Michinoku,60,20,12,8,0,1997
Sniper,61,19,13,5,1,1997
Barry Horowitz,62,16,1,15,0,1997
Freddie Joe Floyd,63,16,4,12,0,1997
Mark Henry,64,15,15,0,0,1997
The Brooklyn Brawler,65,14,0,14,0,1997
The Interrogator,66,14,12,2,0,1997
Tiger Ali Singh,67,13,12,1,0,1997
Diesel,68,11,3,8,0,1997
Max Mini,69,11,10,0,1,1997
TL Hopper,70,11,1,10,0,1997
Justin Bradshaw,71,9,1,8,0,1997
El Torito,72,8,1,6,1,1997
Jeff Jarrett,73,8,7,0,1,1997
Matt Hardy,74,8,0,8,0,1997
Razor Ramon,75,8,1,7,0,1997
Scott Putski,76,8,6,2,0,1997
Tarantula,77,8,0,7,1,1997
The Jackyl,78,8,6,2,0,1997
Alex Porteau,79,7,0,7,0,1997
Jake Roberts,80,7,3,4,0,1997
Jeff Hardy,81,7,0,7,0,1997
Nova,82,7,7,0,0,1997
Steve Blackman,83,7,6,1,0,1997
Piratita Morgan,84,6,0,6,0,1997
TAFKA Goldust,85,6,4,2,0,1997
Tony DeVito,86,6,1,5,0,1997
Devon Storm,87,5,2,3,0,1997
Heavy Metal,88,5,1,4,0,1997
Histeria,89,5,2,3,0,1997
Mascarita Sagrada Jr.,90,5,4,1,0,1997
Mosaic,91,5,3,2,0,1997
Nick Barberry,92,5,1,4,0,1997
Sonny Rogers,93,5,0,5,0,1997
Tony Williams,94,5,2,3,0,1997
Venum,95,5,3,2,0,1997
Abismo Negro,96,4,0,4,0,1997
Cactus Jack,97,4,4,0,0,1997
Dr. X,98,4,0,4,0,1997
El Mosco,99,4,1,3,0,1997
Glen Kulka,100,4,4,0,0,1997
The Rock,1,199,73,116,10,1998
Billy Gunn,2,192,119,68,5,1998
The Road Dogg,3,185,121,60,4,1998
Ken Shamrock,4,182,134,40,8,1998
Kane,5,176,60,105,11,1998
Jeff Jarrett,6,160,67,90,3,1998
D-Lo Brown,7,159,47,105,7,1998
Marc Mero,8,149,43,102,4,1998
Skull,9,143,66,64,13,1998
Owen Hart,10,142,59,81,2,1998
Steve Austin,11,141,125,7,9,1998
8-Ball,12,134,63,58,13,1998
Faarooq,13,130,62,61,7,1998
Brian Christopher,14,129,30,96,3,1998
The Undertaker,15,126,69,48,9,1998
Mosh,16,123,81,37,5,1998
Bradshaw,17,118,89,24,5,1998
Mark Henry,18,117,39,73,5,1998
Thrasher,19,117,79,33,5,1998
Mankind,20,111,30,73,8,1998
Steve Blackman,21,109,58,49,2,1998
Triple H,22,109,54,51,4,1998
X-Pac,23,107,75,25,7,1998
Road Warrior Animal,24,95,38,51,6,1998
Vader,25,95,44,44,7,1998
Taka Michinoku,26,93,63,28,2,1998
Road Warrior Hawk,27,92,38,48,6,1998
Val Venis,28,90,71,15,4,1998
Scott Taylor,29,86,26,59,1,1998
Scorpio,30,73,37,35,1,1998
Savio Vega,31,66,10,54,2,1998
Kurrgan,32,63,35,27,1,1998
Edge,33,61,46,11,4,1998
TAFKA Goldust,34,60,5,53,2,1998
Chainz,35,53,10,41,2,1998
Gangrel,36,52,30,19,3,1998
Golga,37,48,21,27,0,1998
Cactus Jack,38,47,32,14,1,1998
The Godfather,39,47,23,19,5,1998
Dustin Runnels,40,42,13,28,1,1998
Phineas I. Godwinn,41,42,26,16,0,1998
Goldust,42,41,19,19,3,1998
Pierre,43,41,7,33,1,1998
Henry O. Godwinn,44,39,26,13,0,1998
Tom Brandi,45,39,7,32,0,1998
Kama Mustafa,46,38,5,31,2,1998
Al Snow,47,37,16,19,2,1998
Jesus Castillo,48,37,4,32,1,1998
Matt Hardy,49,37,9,27,1,1998
Jacques,50,36,7,28,1,1998
Dennis Knight,51,35,11,21,3,1998
Tiger Ali Singh,52,34,15,17,2,1998
Darren Drozdov,53,33,12,19,2,1998
Jacqueline,54,33,6,27,0,1998
Bodacious Bart,55,32,9,21,2,1998
Droz,56,32,7,22,3,1998
Jeff Hardy,57,32,9,22,1,1998
Miguel Perez,58,32,6,25,1,1998
Bombastic Bob,59,31,9,20,2,1998
Terry Funk,60,31,20,10,1,1998
Sable,61,29,23,5,1,1998
Jose Estrada,62,26,3,21,2,1998
Animal,63,25,8,15,2,1998
Barry Windham,64,25,8,16,1,1998
Chainsaw Charlie,65,25,17,7,1,1998
Christian,66,25,18,5,2,1998
Mark Canterbury,67,23,11,9,3,1998
Sho Funaki,68,23,10,12,1,1998
Dick Togo,69,22,8,13,1,1998
Dan Severn,70,20,14,5,1,1998
The Big Bossman,71,20,8,11,1,1998
El Torito,72,18,2,16,0,1998
Max Mini,73,17,16,1,0,1998
Papi Chulo,74,17,7,9,1,1998
Bob Holly,75,16,10,6,0,1998
Aguila,76,15,7,8,0,1998
Mens Teioh,77,15,8,7,0,1998
Nova,78,15,14,1,0,1998
Ricky Morton,79,15,2,13,0,1998
Robert Gibson,80,15,2,13,0,1998
Steven Regal,81,15,9,2,4,1998
Battalion,82,14,1,13,0,1998
Giant Silva,83,12,9,3,0,1998
Dude Love,84,11,7,4,0,1998
Brakus,85,10,2,8,0,1998
Luna,86,10,6,2,2,1998
Mosaic,87,10,9,1,0,1998
Tarantula,88,10,1,9,0,1998
The Blue Blazer,89,10,1,9,0,1998
Flash Funk,90,9,5,4,0,1998
Adam Copeland,91,8,5,3,0,1998
Hawk,92,8,7,1,0,1998
Duane Gill,93,7,4,2,1,1998
El Merenguero,94,7,5,1,1,1998
Kevin Quinn,95,7,2,4,1,1998
Recon,96,7,1,5,1,1998
Shawn Stasiak,97,7,0,7,0,1998
Apolo Dantes,98,6,1,3,2,1998
Bart Gunn,99,6,5,0,1,1998
Christopher Daniels,100,6,1,5,0,1998
Kane,1,200,102,86,12,1999
Val Venis,2,188,93,89,6,1999
The Rock,3,185,95,73,17,1999
D-Lo Brown,4,184,83,94,7,1999
The Big Bossman,5,179,49,121,9,1999
Edge,6,175,83,82,10,1999
Triple H,7,172,54,104,14,1999
The Godfather,8,171,108,57,6,1999
Al Snow,9,166,96,65,5,1999
X-Pac,10,162,91,64,7,1999
Bradshaw,11,161,85,60,16,1999
Faarooq,12,157,83,59,15,1999
Test,13,156,61,90,5,1999
The Road Dogg,14,152,84,57,11,1999
Christian,15,151,75,69,7,1999
Jeff Jarrett,16,151,97,48,6,1999
The Big Show,17,146,92,39,15,1999
Hardcore Holly,18,140,57,75,8,1999
Mankind,19,138,91,37,10,1999
Jeff Hardy,20,137,52,79,6,1999
Matt Hardy,21,136,55,75,6,1999
Gangrel,22,128,58,65,5,1999
Steve Blackman,23,128,58,65,5,1999
Ken Shamrock,24,127,54,61,12,1999
Mideon,25,114,33,73,8,1999
The Undertaker,26,105,56,43,6,1999
Mr. Ass,27,88,38,46,4,1999
Viscera,28,88,27,54,7,1999
Prince Albert,29,87,24,57,6,1999
Ivory,30,84,41,41,2,1999
Billy Gunn,31,82,32,45,5,1999
Mark Henry,32,81,35,42,4,1999
Owen Hart,33,80,53,24,3,1999
Steve Austin,34,80,64,10,6,1999
Jacqueline,35,71,26,45,0,1999
Goldust,36,68,12,55,1,1999
Kurt Angle,37,64,56,8,0,1999
Droz,38,58,19,36,3,1999
Buh Buh Ray Dudley,39,55,17,38,0,1999
D-Von Dudley,40,54,18,36,0,1999
Crash Holly,41,53,17,31,5,1999
Tori,42,52,23,28,1,1999
Chris Jericho,43,50,19,26,5,1999
8-Ball,44,44,11,32,1,1999
Skull,45,44,11,32,1,1999
Scott Taylor,46,43,13,30,0,1999
The Blue Meanie,47,43,7,35,1,1999
The British Bulldog,48,42,19,21,2,1999
Brian Christopher,49,40,13,27,0,1999
Taka Michinoku,50,40,15,25,0,1999
Tiger Ali Singh,51,38,6,31,1,1999
Chyna,52,37,20,11,6,1999
Meat,53,35,14,21,0,1999
Papi Chulo,54,34,14,18,2,1999
Bob Holly,55,31,12,19,0,1999
Chaz,56,31,6,25,0,1999
Joey Abs,57,30,8,21,1,1999
Luna,58,30,12,18,0,1999
Funaki,59,28,8,20,0,1999
Grandmaster Sexay,60,26,13,13,0,1999
Mosh,61,26,15,11,0,1999
Thrasher,62,26,15,11,0,1999
Shawn Stasiak,63,25,5,20,0,1999
Scotty 2 Hotty,64,23,11,12,0,1999
Shane McMahon,65,22,10,8,4,1999
Miguel Perez,66,21,10,8,3,1999
Pete Gas,67,20,2,17,1,1999
Rodney,68,20,2,17,1,1999
Rikishi Phatu,69,18,16,2,0,1999
Dan Severn,70,16,1,15,0,1999
Stevie Richards,71,16,6,9,1,1999
El Merenguero,72,15,8,4,3,1999
Kurrgan,73,15,1,14,0,1999
Apolo Dantes,74,14,5,6,3,1999
Golga,75,13,1,12,0,1999
Vince McMahon,76,13,8,4,1,1999
Gillberg,77,12,3,9,0,1999
Scorpio,78,12,2,10,0,1999
Armando Fernandez,79,10,7,2,1,1999
El Hijo del Santo,80,10,9,1,0,1999
Gerald Brisco,81,10,5,3,2,1999
Steve Bradley,82,10,4,6,0,1999
Debra,83,9,3,5,1,1999
Jerry Lawler,84,9,8,1,0,1999
Julio Sanchez,85,9,3,6,0,1999
Negro Casas,86,9,4,5,0,1999
Pat Patterson,87,9,5,3,1,1999
Pantera,88,8,3,5,0,1999
The Fabulous Moolah,89,8,5,3,0,1999
El Torito,90,7,3,4,0,1999
Johnny Grunge,91,7,3,4,0,1999
Mae Young,92,7,4,3,0,1999
Max Mini,93,7,5,2,0,1999
Paul Wight,94,7,3,2,2,1999
Ricky Banderas,95,7,3,2,2,1999
Rocco Rock,96,7,3,4,0,1999
Tom Howard,97,7,2,5,0,1999
Christopher Daniels,98,6,4,2,0,1999
The Brooklyn Brawler,99,6,0,6,0,1999
Tracy Smothers,100,6,0,6,0,1999
Jeff Hardy,1,182,89,88,5,2000
Matt Hardy,2,180,87,88,5,2000
Christian,3,178,90,85,3,2000
Kurt Angle,4,178,89,82,7,2000
Scotty 2 Hotty,5,174,89,81,4,2000
D-Von Dudley,6,173,89,77,7,2000
Chris Jericho,7,172,78,91,3,2000
Edge,8,172,89,80,3,2000
Chris Benoit,9,162,72,86,4,2000
Test,10,153,50,100,3,2000
Grandmaster Sexay,11,152,74,74,4,2000
The Rock,12,152,97,44,11,2000
Steve Blackman,13,139,94,41,4,2000
Kane,14,138,80,49,9,2000
Triple H,15,137,56,70,11,2000
Perry Saturn,16,136,58,75,3,2000
D-Lo Brown,17,133,64,65,4,2000
Val Venis,18,133,70,61,2,2000
Al Snow,19,131,51,76,4,2000
The Road Dogg,20,131,60,66,5,2000
Dean Malenko,21,130,84,45,1,2000
X-Pac,22,127,55,65,7,2000
Bull Buchanan,23,124,62,59,3,2000
Albert,24,123,35,87,1,2000
Eddie Guerrero,25,122,66,54,2,2000
Bradshaw,26,111,59,49,3,2000
The Big Bossman,27,109,30,73,6,2000
Buh Buh Ray Dudley,28,104,50,48,6,2000
Rikishi,29,103,60,35,8,2000
Faarooq,30,99,54,42,3,2000
Essa Rios,31,87,32,53,2,2000
Tazz,32,86,38,45,3,2000
The Godfather,33,86,52,26,8,2000
Hardcore Holly,34,85,23,57,5,2000
Crash Holly,35,83,30,46,7,2000
Crash,36,81,27,52,2,2000
Funaki,37,81,19,62,0,2000
Gangrel,38,72,18,53,1,2000
The Undertaker,39,69,49,14,6,2000
Bubba Ray Dudley,40,68,42,26,0,2000
Lita,41,67,36,29,2,2000
The Big Show,42,66,25,34,7,2000
The Goodfather,43,66,39,27,0,2000
Rikishi Phatu,44,63,49,10,4,2000
Joey Abs,45,60,16,44,0,2000
Chaz,46,59,26,33,0,2000
Mosh,47,59,15,43,1,2000
Taka Michinoku,48,58,13,44,1,2000
Jack Dupp,49,57,35,22,0,2000
Bo Dupp,50,56,34,22,0,2000
Rodney,51,54,14,40,0,2000
Mideon,52,53,13,40,0,2000
Thrasher,53,53,10,42,1,2000
Pete Gas,54,48,10,38,0,2000
Billy Gunn,55,46,29,17,0,2000
Jacqueline,56,46,27,19,0,2000
Chyna,57,45,22,21,2,2000
Ivory,58,44,20,23,1,2000
Prince Albert,59,39,15,21,3,2000
Raven,60,35,15,20,0,2000
William Regal,61,34,22,11,1,2000
Just Joe,62,32,13,19,0,2000
Trish Stratus,63,32,4,27,1,2000
Viscera,64,30,9,20,1,2000
Steve Austin,65,27,17,4,6,2000
Scott Vick,66,22,12,10,0,2000
Mr. Ass,67,21,8,11,2,2000
Stevie Richards,68,20,3,16,1,2000
Jerry Lawler,69,18,14,4,0,2000
Mark Henry,70,18,6,10,2,2000
The Brooklyn Brawler,71,18,4,14,0,2000
K-Kwik,72,17,10,7,0,2000
Shane McMahon,73,17,5,9,3,2000
K-Krush,74,16,15,1,0,2000
Steven Richards,75,16,8,7,1,2000
The Kat,76,15,7,8,0,2000
Terri,77,13,7,6,0,2000
Cactus Jack,78,12,7,4,1,2000
The British Bulldog,79,12,8,2,2,2000
Charlie Haas,80,10,6,4,0,2000
Molly Holly,81,10,6,4,0,2000
Russ Haas,82,10,6,4,0,2000
Joe E. Legend,83,9,5,4,0,2000
Stephanie McMahon-Helmsley,84,8,5,2,1,2000
Gerald Brisco,85,6,2,2,2,2000
Steven Regal,86,6,6,0,0,2000
Julio Fantastico,87,5,0,5,0,2000
Mae Young,88,5,3,2,0,2000
Steve Bradley,89,5,0,5,0,2000
Tracy Smothers,90,5,0,5,0,2000
Vince McMahon,91,5,3,1,1,2000
JR Ryder,92,4,0,4,0,2000
Jason Lee,93,4,0,4,0,2000
The Fabulous Moolah,95,4,1,3,0,2000
Tiger Ali Singh,96,4,2,2,0,2000
American Dragon,97,3,1,2,0,2000
Bob Evans,98,3,0,3,0,2000
Chris Michaels,99,3,0,3,0,2000
Christopher Daniels,100,3,1,2,0,2000
Chris Jericho,1,165,93,68,4,2001
Kurt Angle,2,164,83,75,6,2001
Jeff Hardy,3,162,85,73,4,2001
D-Von Dudley,4,161,88,67,6,2001
Matt Hardy,5,161,85,73,3,2001
Bubba Ray Dudley,6,155,81,69,5,2001
Kane,7,147,98,47,2,2001
Test,8,146,80,64,2,2001
Edge,9,143,77,63,3,2001
Christian,10,141,67,71,3,2001
Raven,11,132,54,74,4,2001
The Big Show,12,130,77,51,2,2001
Billy Gunn,13,129,75,52,2,2001
Albert,14,128,77,49,2,2001
The Undertaker,15,128,94,28,6,2001
Crash,16,125,46,79,0,2001
Bradshaw,17,118,79,37,2,2001
Justin Credible,18,113,35,75,3,2001
Perry Saturn,19,112,57,55,0,2001
X-Pac,20,112,60,49,3,2001
Steve Austin,21,107,58,47,2,2001
Faarooq,22,101,64,36,1,2001
Rhyno,23,97,49,45,3,2001
Spike Dudley,24,92,39,53,0,2001
The Rock,25,91,62,24,5,2001
Rob Van Dam,26,87,61,21,5,2001
Tajiri,27,85,43,42,0,2001
Chris Benoit,28,81,47,32,2,2001
Ivory,29,80,36,42,2,2001
Lita,30,79,54,23,2,2001
Funaki,31,78,16,61,1,2001
Lance Storm,32,78,23,54,1,2001
Scotty 2 Hotty,33,78,37,38,3,2001
William Regal,34,76,27,47,2,2001
Hardcore Holly,35,72,39,30,3,2001
Chuck Palumbo,36,71,43,27,1,2001
Booker T,37,69,34,32,3,2001
Taka Michinoku,38,62,20,41,1,2001
Steve Blackman,39,54,31,22,1,2001
Hugh Morrus,40,50,10,40,0,2001
Molly Holly,41,50,14,35,1,2001
Bull Buchanan,42,49,6,43,0,2001
Haku,43,49,17,32,0,2001
K-Kwik,44,48,20,28,0,2001
Tazz,45,48,21,25,2,2001
Triple H,46,48,11,34,3,2001
The Goodfather,47,47,7,40,0,2001
The Hurricane,48,47,19,28,0,2001
Tommy Dreamer,49,47,10,36,1,2001
Grandmaster Sexay,50,44,21,22,1,2001
Mike Awesome,51,44,7,36,1,2001
Rikishi,52,44,13,31,0,2001
Steven Richards,53,44,7,36,1,2001
Eddie Guerrero,54,42,20,21,1,2001
Essa Rios,55,42,18,24,0,2001
Val Venis,56,42,10,32,0,2001
Dean Malenko,57,40,14,26,0,2001
Kanyon,58,40,17,23,0,2001
Jacqueline,59,39,18,19,2,2001
Shawn Stasiak,60,39,10,28,1,2001
Trish Stratus,61,39,24,11,4,2001
Billy Kidman,62,35,23,12,0,2001
Jerry Lynn,63,34,19,15,0,2001
Diamond Dallas Page,64,31,9,20,2,2001
Brock Lesnar,65,30,23,7,0,2001
Chavo Guerrero Jr.,66,28,11,17,0,2001
Rico Costantino,67,25,5,20,0,2001
Randy Orton,68,23,12,11,0,2001
Sean O'Haire,69,23,12,10,1,2001
Ron Waterman,70,20,12,8,0,2001
The Big Bossman,71,20,4,16,0,2001
Scott Vick,72,19,7,12,0,2001
Steve Bradley,73,19,5,14,0,2001
The Brooklyn Brawler,74,18,2,16,0,2001
Al Snow,75,17,6,10,1,2001
Stacy Keibler,76,17,4,13,0,2001
Torrie Wilson,77,17,10,7,0,2001
Chris Kanyon,78,16,4,11,1,2001
Charlie Haas,79,15,9,6,0,2001
Hurricane Helms,80,15,5,10,0,2001
Mighty Molly,81,14,5,9,0,2001
Russ McCullough,82,12,3,9,0,2001
Russ Haas,83,11,9,2,0,2001
Shane McMahon,84,11,5,6,0,2001
Jazz,85,10,0,10,0,2001
Buh Buh Ray Dudley,86,9,6,2,1,2001
Chaz,87,9,5,4,0,2001
Maven,88,9,1,7,1,2001
Chyna,89,8,7,1,0,2001
D-Lo Brown,90,8,5,3,0,2001
Mark Jindrak,91,8,3,4,1,2001
Bo Dupp,92,7,3,4,0,2001
Stephanie McMahon-Helmsley,93,7,3,2,2,2001
Terri,94,7,1,6,0,2001
The Inferno Kid,95,7,2,5,0,2001
Loki,96,6,1,5,0,2001
Race Steele,97,6,0,6,0,2001
Ekmo,98,5,5,0,0,2001
Gregory Helms,99,5,0,5,0,2001
Jerry Lawler,100,5,4,1,0,2001
Rob Van Dam,1,181,121,60,0,2002
Lance Storm,2,176,90,84,2,2002
Kurt Angle,3,174,58,111,5,2002
Christian,4,170,92,78,0,2002
Booker T,5,167,84,78,5,2002
Test,6,160,70,87,3,2002
Edge,7,159,91,67,1,2002
Chris Jericho,8,158,86,69,3,2002
Rikishi,9,158,81,75,2,2002
Billy Kidman,10,156,79,77,0,2002
Spike Dudley,11,154,81,73,0,2002
Tajiri,12,154,64,90,0,2002
The Hurricane,13,154,89,64,1,2002
Bubba Ray Dudley,14,152,53,98,1,2002
William Regal,15,148,63,83,2,2002
Albert,16,147,61,83,3,2002
Chuck,17,144,101,43,0,2002
Brock Lesnar,18,141,101,35,5,2002
The Big Show,19,136,65,63,8,2002
Billy,20,135,98,37,0,2002
Trish Stratus,21,134,84,50,0,2002
Goldust,22,128,56,70,2,2002
Jeff Hardy,23,127,62,64,1,2002
Funaki,24,124,40,84,0,2002
Crash,25,122,42,79,1,2002
Steven Richards,26,122,33,86,3,2002
Chavo Guerrero,27,120,57,63,0,2002
Triple H,28,119,81,35,3,2002
Eddie Guerrero,29,118,55,63,0,2002
Tommy Dreamer,30,118,53,60,5,2002
Justin Credible,31,114,24,90,0,2002
Randy Orton,32,109,40,69,0,2002
Bradshaw,33,107,45,55,7,2002
Matt Hardy,34,107,64,43,0,2002
Raven,35,105,30,75,0,2002
D-Lo Brown,36,104,69,34,1,2002
Molly Holly,37,103,43,60,0,2002
Jamie Noble,38,102,61,41,0,2002
Kane,39,97,66,30,1,2002
The Undertaker,40,92,56,32,4,2002
Chris Benoit,41,89,46,40,3,2002
Hardcore Holly,42,83,40,42,1,2002
Shelton Benjamin,43,81,44,37,0,2002
John Cena,44,78,40,38,0,2002
Rey Mysterio,45,78,47,30,1,2002
Val Venis,46,75,37,37,1,2002
Jacqueline,47,74,37,37,0,2002
Shawn Stasiak,48,74,16,51,7,2002
Shannon Moore,49,73,33,40,0,2002
Faarooq,50,70,35,35,0,2002
Batista,51,69,51,18,0,2002
Christopher Nowinski,52,69,30,37,2,2002
D-Von Dudley,53,68,30,38,0,2002
Reverend D-Von,54,67,30,37,0,2002
Mark Henry,55,60,34,26,0,2002
Rico,56,58,24,34,0,2002
Johnny Stamboli,57,56,21,35,0,2002
Steve Austin,58,56,42,10,4,2002
Jazz,59,55,36,18,1,2002
Maven,60,55,15,37,3,2002
Scotty 2 Hotty,61,53,22,31,0,2002
Victoria,62,53,18,35,0,2002
