name,rank,matches,wins,losses,draws,year
Sgt. Slaughter,54,76,74,2,0,1990
Animal,55,74,73,1,0,1990
Dustin Rhodes,56,60,43,17,0,1990
Al Perez,57,55,34,20,1,1990
Roddy Piper,58,51,36,8,7,1990
The British Bulldog,59,51,47,3,1,1990
Iron Mike Sharpe,60,50,2,48,0,1990
Sapphire,61,50,32,18,0,1990
The Red Rooster,62,49,16,32,1,1990
Queen Sherri,63,45,17,28,0,1990
Hillbilly Jim,64,37,31,6,0,1990
Saba Simba,65,36,32,4,0,1990
Andre The Giant,66,35,27,8,0,1990
Mr. Fuji,67,35,2,33,0,1990
Barry O,68,29,1,28,0,1990
Bobby Heenan,69,29,0,29,0,1990
Conquistador Uno,70,25,1,24,0,1990
Tom Stone,71,24,1,23,0,1990
Dale Wolfe,72,23,0,23,0,1990
Mark Young,73,23,4,19,0,1990
Kato,74,22,4,18,0,1990
Brady Boone,75,19,3,16,0,1990
Frenchy Martin,76,19,1,18,0,1990
Jim Evans,77,18,0,18,0,1990
Sonny Blaze,78,18,0,18,0,1990
The Black Demon,79,17,0,17,0,1990
Chris Duffy,80,15,0,15,0,1990
Jose Luis Rivera,81,15,0,15,0,1990
Virgil,82,15,7,8,0,1990
Reno Riggins,83,14,0,14,0,1990
Battle Kat,84,13,12,1,0,1990
Jim McPherson,85,13,0,13,0,1990
Omar Atlas,86,12,1,11,0,1990
Spike Jones,87,12,0,12,0,1990
Kent Carlson,88,10,0,10,0,1990
Red Tyler,89,10,0,10,0,1990
Ron Garvin,90,10,3,7,0,1990
Scott Colontonio,91,10,0,10,0,1990
Scott Colton,92,10,0,10,0,1990
Al Burke,93,9,0,9,0,1990
Barry Hardy,94,9,0,9,0,1990
Battle Kat,95,9,8,1,0,1990
Mike Pocari,96,9,0,9,0,1990
Rico Federico,97,9,0,9,0,1990
Sam Houston,98,9,0,9,0,1990
Duane Gill,99,8,0,8,0,1990
Gary Jackson,100,8,0,8,0,1990
Bret Hart,1,196,170,16,10,1991
The Big Boss Man,2,195,137,56,2,1991
The Undertaker,3,190,102,86,2,1991
Earthquake,4,185,67,117,1,1991
Ted DiBiase,5,184,103,75,6,1991
Jim Duggan,6,181,117,61,3,1991
Animal,7,179,168,8,3,1991
The Mountie,8,175,94,77,4,1991
Luke,9,174,76,98,0,1991
Butch,10,172,73,99,0,1991
The British Bulldog,11,169,121,33,15,1991
Jerry Sags,12,167,89,76,2,1991
The Texas Tornado,13,165,114,21,30,1991
Jake Roberts,14,160,84,75,1,1991
Irwin R. Schyster,15,156,119,28,9,1991
Marty Jannetty,16,156,95,58,3,1991
Brian Knobbs,17,155,84,68,3,1991
Hawk,18,154,142,9,3,1991
The Warlord,19,152,52,66,34,1991
Kato,20,147,15,132,0,1991
Greg Valentine,21,146,71,73,2,1991
The Barbarian,22,146,49,95,2,1991
Virgil,23,139,69,69,1,1991
Shawn Michaels,24,137,83,49,5,1991
The Berzerker,25,136,94,39,3,1991
Hercules,26,134,32,100,2,1991
Sgt. Slaughter,27,127,81,46,0,1991
Jimmy Snuka,28,112,56,55,1,1991
Jim Neidhart,29,106,77,27,2,1991
Paul Roma,30,103,21,79,3,1991
Tanaka,31,103,14,89,0,1991
The Ultimate Warrior,32,103,73,30,0,1991
Hulk Hogan,33,101,84,17,0,1991
Typhoon,34,100,36,62,2,1991
Col. Mustafa,35,99,33,66,0,1991
Koko B. Ware,36,97,22,75,0,1991
The Dragon,37,97,92,1,4,1991
Mr. Perfect,38,89,34,49,6,1991
Beau Beverly,39,88,72,15,1,1991
Blake Beverly,40,88,70,17,1,1991
Roddy Piper,41,88,52,36,0,1991
The Brooklyn Brawler,42,81,4,77,0,1991
Skinner,43,76,26,47,3,1991
Tugboat,44,72,24,48,0,1991
Haku,45,71,8,63,0,1991
Smash,46,69,11,58,0,1991
Ric Flair,47,66,38,28,0,1991
El Matador,48,65,54,8,3,1991
Rick Martel,49,56,9,45,2,1991
Dino Bravo,50,51,5,46,0,1991
Randy Savage,51,50,38,12,0,1991
Crush,52,45,7,38,0,1991
Jim Powers,53,45,10,35,0,1991
Gen. Adnan,54,36,0,36,0,1991
Tito Santana,55,34,21,13,0,1991
Dale Wolfe,56,30,0,30,0,1991
Sid Justice,57,27,25,0,2,1991
Bob Bradley,58,26,1,25,0,1991
Chris Chavis,59,26,22,4,0,1991
Big Bully Busick,60,24,9,15,0,1991
Mr. Fuji,61,22,0,22,0,1991
Chris Walker,62,19,15,4,0,1991
Louie Spicolli,63,19,0,19,0,1991
Shane Douglas,64,18,5,13,0,1991
Brian Donahue,65,16,0,16,0,1991
Jim Brunzell,66,16,0,16,0,1991
Sonny Blaze,67,16,0,16,0,1991
Barry Hardy,68,15,0,15,0,1991
Brian Costello,69,14,0,14,0,1991
Repo Man,70,13,8,5,0,1991
Duane Gill,71,12,0,12,0,1991
Saba Simba,72,12,3,9,0,1991
Pez Whatley,73,11,0,11,0,1991
Phil Apollo,74,11,0,11,0,1991
Barry Horowitz,75,10,0,10,0,1991
Bobby Jones,76,10,0,10,0,1991
Larry Ludden,77,10,0,10,0,1991
Mark Thomas,78,10,0,10,0,1991
Russ Greenberg,79,10,0,10,0,1991
Sam Houston,80,10,2,8,0,1991
Bobby Heenan,81,9,1,8,0,1991
Buddy Rose,82,9,0,9,0,1991
The Genius,83,9,4,5,0,1991
Bill Pierce,84,8,0,8,0,1991
Jim Evans,85,8,0,8,0,1991
Chris Duffy,86,7,0,7,0,1991
Larry Williams,87,7,0,7,0,1991
Mario Mancini,88,7,0,7,0,1991
Tom Stone,89,7,0,7,0,1991
Ed Moretti,90,6,0,6,0,1991
Reno Riggins,91,6,1,5,0,1991
The Black Knight,92,6,0,6,0,1991
Al Burke,93,5,0,5,0,1991
Buck Zumhofe,94,5,0,5,0,1991
Chic Cullen,95,5,0,5,0,1991
Chris Hahn,96,5,0,5,0,1991
Doug Vines,97,5,0,5,0,1991
Dustin Rhodes,98,5,3,2,0,1991
Mike Williams,99,5,0,5,0,1991
Owen Hart,100,5,5,0,0,1991
Bret Hart,1,201,187,13,1,1992
Repo Man,2,188,69,118,1,1992
Shawn Michaels,3,177,89,84,4,1992
El Matador,4,172,100,55,17,1992
Ric Flair,5,170,36,132,2,1992
Virgil,6,170,84,86,0,1992
Irwin R. Schyster,7,166,71,84,11,1992
Ted DiBiase,8,163,55,96,12,1992
Skinner,9,162,35,126,1,1992
Rick Martel,10,159,95,62,2,1992
Tatanka,11,158,144,14,0,1992
The Undertaker,12,158,142,8,8,1992
Randy Savage,13,157,114,41,2,1992
Owen Hart,14,156,96,59,1,1992
Earthquake,15,154,117,37,0,1992
Papa Shango,16,145,33,109,3,1992
Typhoon,17,145,106,39,0,1992
Blake Beverly,18,143,40,102,1,1992
The Mountie,19,139,52,87,0,1992
Jerry Sags,20,138,72,62,4,1992
Beau Beverly,21,137,39,97,1,1992
Brian Knobbs,22,131,67,60,4,1992
Crush,23,130,128,0,2,1992
The Big Boss Man,24,122,86,36,0,1992
Kato,25,121,9,112,0,1992
Koko B. Ware,26,113,58,54,1,1992
Nailz,27,109,50,55,4,1992
The British Bulldog,28,109,97,11,1,1992
The Berzerker,29,108,25,83,0,1992
Jim Duggan,30,104,61,41,2,1992
Sgt. Slaughter,31,104,45,59,0,1992
Animal,32,102,99,3,0,1992
Jim Powers,33,102,28,74,0,1992
The Brooklyn Brawler,34,101,3,98,0,1992
Kamala,35,97,39,58,0,1992
The Ultimate Warrior,36,88,86,1,1,1992
Razor Ramon,37,80,62,17,1,1992
Hawk,38,76,73,3,0,1992
Luke,39,75,50,25,0,1992
Butch,40,73,47,26,0,1992
Jim Brunzell,41,66,15,51,0,1992
Sid Justice,42,58,15,35,8,1992
Roddy Piper,43,54,40,14,0,1992
The Texas Tornado,44,54,33,21,0,1992
Barry Horowitz,45,53,0,53,0,1992
Chris Walker,46,49,24,24,1,1992
The Warlord,47,45,28,15,2,1992
Jake Roberts,48,40,4,36,0,1992
Terry Taylor,49,40,14,24,2,1992
Max Moon,50,38,37,1,0,1992
Fatu,51,37,36,1,0,1992
Lance Cassidy,52,37,35,1,1,1992
Samu,53,36,35,1,0,1992
Bob Backlund,54,33,33,0,0,1992
Col. Mustafa,55,33,1,32,0,1992
Hulk Hogan,56,32,29,3,0,1992
Bob Bradley,57,28,0,28,0,1992
Marty Jannetty,58,26,13,12,1,1992
The Genius,59,26,4,22,0,1992
Jim Neidhart,60,23,19,4,0,1992
Louie Spicolli,61,23,0,23,0,1992
Dale Wolfe,62,22,0,22,0,1992
Duane Gill,63,22,1,21,0,1992
Damien DeMento,64,21,12,9,0,1992
JW Storm,65,21,4,17,0,1992
Barry Hardy,66,20,1,19,0,1992
Hercules,67,19,4,15,0,1992
Double Trouble I,68,17,1,16,0,1992
Double Trouble II,69,17,1,16,0,1992
Red Tyler,70,16,0,16,0,1992
Tom Stone,71,15,0,15,0,1992
Yokozuna,72,15,15,0,0,1992
Glen Ruth,73,14,0,14,0,1992
Brian Costello,74,13,0,13,0,1992
Iron Mike Sharpe,75,13,1,12,0,1992
Bam Bam Bigelow,76,12,11,1,0,1992
Dino Bravo,77,10,1,9,0,1992
Chris Chavis,78,9,9,0,0,1992
Doug Somers,79,9,0,9,0,1992
Jimmy Snuka,80,9,1,8,0,1992
Joey Maggs,81,9,0,9,0,1992
Kevin Krueger,82,9,0,9,0,1992
Paul Ellering,83,9,9,0,0,1992
Phil Apollo,84,9,0,9,0,1992
Bill Pierce,85,8,0,8,0,1992
Chris Hahn,86,8,0,7,1,1992
Greg Valentine,87,8,4,4,0,1992
The Dublin Destroyer,88,8,0,8,0,1992
Buck Zumhofe,89,7,0,7,0,1992
Gary Jackson,90,6,0,6,0,1992
Jeff Jarrett,91,6,6,0,0,1992
Mickey Jay,92,6,0,6,0,1992
Mr. Fuji,93,6,0,6,0,1992
Ron Cumberledge,94,6,0,6,0,1992
The Barbarian,95,6,0,6,0,1992
Bill Jordan,96,5,0,5,0,1992
Brian Jewel,97,5,0,5,0,1992
Del Wilkes,98,5,2,3,0,1992
Jason Knight,99,5,0,5,0,1992
Jerry Fox,100,5,0,5,0,1992
Yokozuna,1,203,114,89,0,1993
Bam Bam Bigelow,2,186,94,81,11,1993
Rick Steiner,3,182,173,9,0,1993
Scott Steiner,4,180,171,8,1,1993
Doink,5,179,93,74,12,1993
Fatu,6,178,116,44,18,1993
Samu,7,177,115,44,18,1993
Irwin R. Schyster,8,174,57,113,4,1993
Tatanka,9,174,149,7,18,1993
Razor Ramon,10,169,115,50,4,1993
Bret Hart,11,165,139,26,0,1993
The Undertaker,12,161,144,16,1,1993
Mr. Perfect,13,152,115,29,8,1993
Shawn Michaels,14,142,73,62,7,1993
Lex Luger,15,133,87,42,4,1993
Virgil,16,126,77,49,0,1993
