"wrestler_name","wrestler_rank","wrestler_matches","wrestler_wins","wrestler_losses","wrestler_draws"
"Butch Long","99","5","0","5","0"
"Duane Gill","100","5","0","5","0"
"Hunter Hearst Helmsley","1","185","56","129","0"
"Goldust","2","173","46","124","3"
"Shawn Michaels","3","172","159","10","3"
"Owen Hart","4","171","78","93","0"
"Savio Vega","5","168","97","65","6"
"The Undertaker","6","167","143","21","3"
"Henry O. Godwinn","7","164","82","81","1"
"The British Bulldog","8","162","66","93","3"
"Phineas I. Godwinn","9","153","78","74","1"
"Steve Austin","10","150","95","52","3"
"Vader","11","145","35","103","7"
"Justin Bradshaw","12","143","78","64","1"
"Marc Mero","13","139","109","28","2"
"Bart Gunn","14","132","53","72","7"
"Billy Gunn","15","127","60","60","7"
"Mankind","16","122","25","95","2"
"Ahmed Johnson","17","107","94","12","1"
"Jake Roberts","18","102","56","45","1"
"Bob Holly","19","98","17","81","0"
"Zip","20","96","51","45","0"
"Leif Cassidy","21","95","14","80","1"
"Sycho Sid","22","95","82","11","2"
"Skip","23","92","49","43","0"
"Marty Jannetty","24","89","14","74","1"
"Aldo Montoya","25","77","13","64","0"
"Bret Hart","26","76","67","6","3"
"Yokozuna","27","70","35","34","1"
"Duke Droese","28","68","36","32","0"
"Barry Horowitz","29","60","11","49","0"
"The 1-2-3 Kid","30","50","8","42","0"
"Butch","31","48","39","9","0"
"Luke","32","48","39","9","0"
"Faarooq","33","45","29","14","2"
"The Stalker","34","44","34","9","1"
"Diesel","35","43","11","32","0"
"Isaac Yankem DDS","36","43","4","39","0"
"Razor Ramon","37","38","18","20","0"
"The Sultan","38","38","33","5","0"
"Crush","39","37","28","6","3"
"Jason Grimm","40","37","13","17","7"
"Jared Grimm","41","36","13","16","7"
"Jerry Lawler","42","36","13","23","0"
"Tatanka","43","30","6","24","0"
"The Ultimate Warrior","44","29","27","0","2"
"Salvatore Sincere","45","27","10","17","0"
"Razor Ramon","46","25","12","12","1"
"Fatu","47","24","12","11","1"
"The Ringmaster","48","24","20","4","0"
"Freddie Joe Floyd","49","22","9","13","0"
"Diesel","50","21","12","8","1"
"Bob Backlund","51","19","2","17","0"
"Alex Porteau","52","17","3","14","0"
"Doug Furnas","53","17","17","0","0"
"Jesse Jammes","54","17","8","9","0"
"Philip LaFon","55","17","17","0","0"
"TL Hopper","56","17","3","14","0"
"Jeff Jarrett","57","16","0","16","0"
"The Brooklyn Brawler","58","13","0","13","0"
"Zebekiah","59","13","0","13","0"
"Rocky Maivia","60","12","10","2","0"
"Dr. X","61","11","0","11","0"
"Hakushi","62","11","1","10","0"
"Jason Ahrndt","63","10","2","8","0"
"Carl LeDuc","64","9","3","6","0"
"Jim Cornette","65","9","1","7","1"
"Jose Lothario","66","9","7","1","1"
"The Goon","67","9","2","7","0"
"Flash Funk","68","8","6","1","1"
"Brakus","69","7","7","0","0"
"David Haskins","70","7","0","7","0"
"Marty Garner","71","7","1","6","0"
"Matt Hardy","72","7","1","6","0"
"Frank Stalletto","73","6","1","5","0"
"Scott Taylor","74","6","1","5","0"
"The Executioner","75","6","4","2","0"
"Who","76","6","1","5","0"
"Avatar","77","5","1","4","0"
"Jeff Hardy","78","5","0","5","0"
"Tim Patterson","79","5","0","5","0"
"Brian Walsh","80","4","0","4","0"
"Lou Marconi","81","4","0","4","0"
"Pierroth","82","4","3","1","0"
"Roddy Piper","83","4","3","0","1"
"Samu","84","4","0","4","0"
"The Tahitian Warrior","85","4","0","4","0"
"Tony Williams","86","4","1","3","0"
"Billy Two Eagles","87","3","0","3","0"
"Buddy Wayne","88","3","0","3","0"
"Cibernetico","89","3","2","1","0"
"Don Callis","90","3","0","3","0"
"Faarooq Asad","91","3","2","0","1"
"Guido Falcone","92","3","0","3","0"
"Hector Garza","93","3","3","0","0"
"Jerry Fox","94","3","0","3","0"
"Mike Diamond","95","3","0","3","0"
"Travis","96","3","0","3","0"
"Troy","97","3","0","3","0"
"Argo","98","2","2","0","0"
"Bert Centeno","99","2","0","2","0"
"Chris Harris","100","2","0","2","0"
"Owen Hart","1","175","72","99","4"
"The Undertaker","2","173","135","28","10"
"The British Bulldog","3","150","62","85","3"
"Flash Funk","4","149","47","101","1"
"Savio Vega","5","147","49","95","3"
"Goldust","6","145","69","74","2"
"Hunter Hearst Helmsley","7","145","72","71","2"
"Vader","8","139","56","76","7"
"Faarooq","9","137","60","74","3"
"Phineas I. Godwinn","10","137","68","61","8"
"Crush","11","130","74","51","5"
"Henry O. Godwinn","12","127","69","50","8"
"Thrasher","13","126","50","71","5"
"Mosh","14","123","47","71","5"
"Mankind","15","122","60","59","3"
"Bret Hart","16","121","47","69","5"
"Rocky Maivia","17","116","60","54","2"
"Steve Austin","18","116","79","32","5"
"Ahmed Johnson","19","113","81","31","1"
"Road Warrior Hawk","20","99","75","17","7"
"Road Warrior Animal","21","95","72","16","7"
"Ken Shamrock","22","94","79","13","2"
"Blackjack Bradshaw","23","89","34","53","2"
"Blackjack Windham","24","85","33","52","0"
"Rockabilly","25","78","39","38","1"
"D-Lo Brown","26","75","18","55","2"
"The Sultan","27","74","22","52","0"
"Jesse Jammes","28","73","23","50","0"
"Kama Mustafa","29","71","27","40","4"
"Philip LaFon","30","71","30","40","1"
"Doug Furnas","31","69","29","39","1"
"Chainz","32","68","39","26","3"
"Miguel Perez","33","64","20","43","1"
"Brian Pillman","34","61","25","36","0"
"Leif Cassidy","35","57","17","39","1"
"Marc Mero","36","56","38","17","1"
"Bob Holly","37","55","13","42","0"
"Dude Love","38","55","43","12","0"
"Sycho Sid","39","54","37","15","2"
"Shawn Michaels","40","53","27","22","4"
"Billy Gunn","41","51","30","20","1"
"8-Ball","42","50","31","18","1"
"Skull","43","48","32","15","1"
"Brian Christopher","44","44","34","10","0"
"Jim Neidhart","45","42","13","29","0"
"Scott Taylor","46","40","14","26","0"
"Triple H","47","39","6","31","2"
"Aldo Montoya","48","38","9","28","1"
"Jose Estrada","49","38","14","24","0"
"The Road Dogg","50","37","25","11","1"
"The Patriot","51","36","23","13","0"
"Salvatore Sincere","52","35","6","29","0"
"Jesus Castillo","53","29","10","19","0"
"Bart Gunn","54","26","11","14","1"
"The Rock","55","24","5","19","0"
"Recon","56","23","16","6","1"
"Kane","57","21","20","0","1"
"Brakus","58","20","17","3","0"
"Jerry Lawler","59","20","12","7","1"
"Taka Michinoku","60","20","12","8","0"
"Sniper","61","19","13","5","1"
"Barry Horowitz","62","16","1","15","0"
"Freddie Joe Floyd","63","16","4","12","0"
"Mark Henry","64","15","15","0","0"
"The Brooklyn Brawler","65","14","0","14","0"
"The Interrogator","66","14","12","2","0"
"Tiger Ali Singh","67","13","12","1","0"
"Diesel","68","11","3","8","0"
"Max Mini","69","11","10","0","1"
"TL Hopper","70","11","1","10","0"
"Justin Bradshaw","71","9","1","8","0"
"El Torito","72","8","1","6","1"
"Jeff Jarrett","73","8","7","0","1"
"Matt Hardy","74","8","0","8","0"
"Razor Ramon","75","8","1","7","0"
"Scott Putski","76","8","6","2","0"
"Tarantula","77","8","0","7","1"
"The Jackyl","78","8","6","2","0"
"Alex Porteau","79","7","0","7","0"
"Jake Roberts","80","7","3","4","0"
"Jeff Hardy","81","7","0","7","0"
"Nova","82","7","7","0","0"
"Steve Blackman","83","7","6","1","0"
"Piratita Morgan","84","6","0","6","0"
"TAFKA Goldust","85","6","4","2","0"
"Tony DeVito","86","6","1","5","0"
"Devon Storm","87","5","2","3","0"
"Heavy Metal","88","5","1","4","0"
"Histeria","89","5","2","3","0"
"Mascarita Sagrada Jr.","90","5","4","1","0"
"Mosaic","91","5","3","2","0"
"Nick Barberry","92","5","1","4","0"
"Sonny Rogers","93","5","0","5","0"
"Tony Williams","94","5","2","3","0"
"Venum","95","5","3","2","0"
"Abismo Negro","96","4","0","4","0"
"Cactus Jack","97","4","4","0","0"
"Dr. X","98","4","0","4","0"
"El Mosco","99","4","1","3","0"
"Glen Kulka","100","4","4","0","0"
"The Rock","1","199","73","116","10"
"Billy Gunn","2","192","119","68","5"
"The Road Dogg","3","185","121","60","4"
"Ken Shamrock","4","182","134","40","8"
"Kane","5","176","60","105","11"
"Jeff Jarrett","6","160","67","90","3"
"D-Lo Brown","7","159","47","105","7"
"Marc Mero","8","149","43","102","4"
"Skull","9","143","66","64","13"
"Owen Hart","10","142","59","81","2"
"Steve Austin","11","141","125","7","9"
"8-Ball","12","134","63","58","13"
"Faarooq","13","130","62","61","7"
"Brian Christopher","14","129","30","96","3"
"The Undertaker","15","126","69","48","9"
"Mosh","16","123","81","37","5"
"Bradshaw","17","118","89","24","5"
"Mark Henry","18","117","39","73","5"
"Thrasher","19","117","79","33","5"
"Mankind","20","111","30","73","8"
"Steve Blackman","21","109","58","49","2"
"Triple H","22","109","54","51","4"
"X-Pac","23","107","75","25","7"
"Road Warrior Animal","24","95","38","51","6"
"Vader","25","95","44","44","7"
"Taka Michinoku","26","93","63","28","2"
"Road Warrior Hawk","27","92","38","48","6"
"Val Venis","28","90","71","15","4"
"Scott Taylor","29","86","26","59","1"
"Scorpio","30","73","37","35","1"
"Savio Vega","31","66","10","54","2"
"Kurrgan","32","63","35","27","1"
"Edge","33","61","46","11","4"
"TAFKA Goldust","34","60","5","53","2"
"Chainz","35","53","10","41","2"
"Gangrel","36","52","30","19","3"
"Golga","37","48","21","27","0"
"Cactus Jack","38","47","32","14","1"
"The Godfather","39","47","23","19","5"
"Dustin Runnels","40","42","13","28","1"
"Phineas I. Godwinn","41","42","26","16","0"
"Goldust","42","41","19","19","3"
"Pierre","43","41","7","33","1"
"Henry O. Godwinn","44","39","26","13","0"
"Tom Brandi","45","39","7","32","0"
"Kama Mustafa","46","38","5","31","2"
"Al Snow","47","37","16","19","2"
"Jesus Castillo","48","37","4","32","1"
"Matt Hardy","49","37","9","27","1"
"Jacques","50","36","7","28","1"
"Dennis Knight","51","35","11","21","3"
"Tiger Ali Singh","52","34","15","17","2"
"Darren Drozdov","53","33","12","19","2"
"Jacqueline","54","33","6","27","0"
"Bodacious Bart","55","32","9","21","2"
"Droz","56","32","7","22","3"
"Jeff Hardy","57","32","9","22","1"
"Miguel Perez","58","32","6","25","1"
"Bombastic Bob","59","31","9","20","2"
"Terry Funk","60","31","20","10","1"
"Sable","61","29","23","5","1"
"Jose Estrada","62","26","3","21","2"
"Animal","63","25","8","15","2"
"Barry Windham","64","25","8","16","1"
"Chainsaw Charlie","65","25","17","7","1"
"Christian","66","25","18","5","2"
"Mark Canterbury","67","23","11","9","3"
"Sho Funaki","68","23","10","12","1"
"Dick Togo","69","22","8","13","1"
"Dan Severn","70","20","14","5","1"
"The Big Bossman","71","20","8","11","1"
"El Torito","72","18","2","16","0"
"Max Mini","73","17","16","1","0"
"Papi Chulo","74","17","7","9","1"
"Bob Holly","75","16","10","6","0"
"Aguila","76","15","7","8","0"
"Mens Teioh","77","15","8","7","0"
"Nova","78","15","14","1","0"
"Ricky Morton","79","15","2","13","0"
"Robert Gibson","80","15","2","13","0"
"Steven Regal","81","15","9","2","4"
"Battalion","82","14","1","13","0"
"Giant Silva","83","12","9","3","0"
"Dude Love","84","11","7","4","0"
"Brakus","85","10","2","8","0"
"Luna","86","10","6","2","2"
"Mosaic","87","10","9","1","0"
"Tarantula","88","10","1","9","0"
"The Blue Blazer","89","10","1","9","0"
"Flash Funk","90","9","5","4","0"
"Adam Copeland","91","8","5","3","0"
"Hawk","92","8","7","1","0"
"Duane Gill","93","7","4","2","1"
"El Merenguero","94","7","5","1","1"
"Kevin Quinn","95","7","2","4","1"
"Recon","96","7","1","5","1"
"Shawn Stasiak","97","7","0","7","0"
"Apolo Dantes","98","6","1","3","2"
"Bart Gunn","99","6","5","0","1"
"Christopher Daniels","100","6","1","5","0"
"Kane","1","200","102","86","12"
"Val Venis","2","188","93","89","6"
"The Rock","3","185","95","73","17"
"D-Lo Brown","4","184","83","94","7"
"The Big Bossman","5","179","49","121","9"
"Edge","6","175","83","82","10"
"Triple H","7","172","54","104","14"
"The Godfather","8","171","108","57","6"
"Al Snow","9","166","96","65","5"
"X-Pac","10","162","91","64","7"
"Bradshaw","11","161","85","60","16"
"Faarooq","12","157","83","59","15"
"Test","13","156","61","90","5"
"The Road Dogg","14","152","84","57","11"
"Christian","15","151","75","69","7"
"Jeff Jarrett","16","151","97","48","6"
"The Big Show","17","146","92","39","15"
"Hardcore Holly","18","140","57","75","8"
"Mankind","19","138","91","37","10"
"Jeff Hardy","20","137","52","79","6"
"Matt Hardy","21","136","55","75","6"
"Gangrel","22","128","58","65","5"
"Steve Blackman","23","128","58","65","5"
"Ken Shamrock","24","127","54","61","12"
"Mideon","25","114","33","73","8"
"The Undertaker","26","105","56","43","6"
"Mr. Ass","27","88","38","46","4"
"Viscera","28","88","27","54","7"
"Prince Albert","29","87","24","57","6"
"Ivory","30","84","41","41","2"
"Billy Gunn","31","82","32","45","5"
"Mark Henry","32","81","35","42","4"
"Owen Hart","33","80","53","24","3"
"Steve Austin","34","80","64","10","6"
"Jacqueline","35","71","26","45","0"
"Goldust","36","68","12","55","1"
"Kurt Angle","37","64","56","8","0"
"Droz","38","58","19","36","3"
"Buh Buh Ray Dudley","39","55","17","38","0"
"D-Von Dudley","40","54","18","36","0"
"Crash Holly","41","53","17","31","5"
"Tori","42","52","23","28","1"
"Chris Jericho","43","50","19","26","5"
"8-Ball","44","44","11","32","1"
"Skull","45","44","11","32","1"
"Scott Taylor","46","43","13","30","0"
"The Blue Meanie","47","43","7","35","1"
"The British Bulldog","48","42","19","21","2"
"Brian Christopher","49","40","13","27","0"
"Taka Michinoku","50","40","15","25","0"
"Tiger Ali Singh","51","38","6","31","1"
"Chyna","52","37","20","11","6"
"Meat","53","35","14","21","0"
"Papi Chulo","54","34","14","18","2"
"Bob Holly","55","31","12","19","0"
"Chaz","56","31","6","25","0"
"Joey Abs","57","30","8","21","1"
"Luna","58","30","12","18","0"
"Funaki","59","28","8","20","0"
"Grandmaster Sexay","60","26","13","13","0"
"Mosh","61","26","15","11","0"
"Thrasher","62","26","15","11","0"
"Shawn Stasiak","63","25","5","20","0"
"Scotty 2 Hotty","64","23","11","12","0"
"Shane McMahon","65","22","10","8","4"
"Miguel Perez","66","21","10","8","3"
"Pete Gas","67","20","2","17","1"
"Rodney","68","20","2","17","1"
"Rikishi Phatu","69","18","16","2","0"
"Dan Severn","70","16","1","15","0"
"Stevie Richards","71","16","6","9","1"
"El Merenguero","72","15","8","4","3"
"Kurrgan","73","15","1","14","0"
"Apolo Dantes","74","14","5","6","3"
"Golga","75","13","1","12","0"
"Vince McMahon","76","13","8","4","1"
"Gillberg","77","12","3","9","0"
"Scorpio","78","12","2","10","0"
"Armando Fernandez","79","10","7","2","1"
"El Hijo del Santo","80","10","9","1","0"
"Gerald Brisco","81","10","5","3","2"
"Steve Bradley","82","10","4","6","0"
"Debra","83","9","3","5","1"
"Jerry Lawler","84","9","8","1","0"
"Julio Sanchez","85","9","3","6","0"
"Negro Casas","86","9","4","5","0"
"Pat Patterson","87","9","5","3","1"
"Pantera","88","8","3","5","0"
"The Fabulous Moolah","89","8","5","3","0"
"El Torito","90","7","3","4","0"
"Johnny Grunge","91","7","3","4","0"
"Mae Young","92","7","4","3","0"
"Max Mini","93","7","5","2","0"
"Paul Wight","94","7","3","2","2"
"Ricky Banderas","95","7","3","2","2"
"Rocco Rock","96","7","3","4","0"
"Tom Howard","97","7","2","5","0"
"Christopher Daniels","98","6","4","2","0"
"The Brooklyn Brawler","99","6","0","6","0"
"Tracy Smothers","100","6","0","6","0"
"Jeff Hardy","1","182","89","88","5"
"Matt Hardy","2","180","87","88","5"
"Christian","3","178","90","85","3"
"Kurt Angle","4","178","89","82","7"
"Scotty 2 Hotty","5","174","89","81","4"
"D-Von Dudley","6","173","89","77","7"
"Chris Jericho","7","172","78","91","3"
"Edge","8","172","89","80","3"
"Chris Benoit","9","162","72","86","4"
"Test","10","153","50","100","3"
"Grandmaster Sexay","11","152","74","74","4"
"The Rock","12","152","97","44","11"
"Steve Blackman","13","139","94","41","4"
"Kane","14","138","80","49","9"
"Triple H","15","137","56","70","11"
"Perry Saturn","16","136","58","75","3"
"D-Lo Brown","17","133","64","65","4"
"Val Venis","18","133","70","61","2"
"Al Snow","19","131","51","76","4"
"The Road Dogg","20","131","60","66","5"
"Dean Malenko","21","130","84","45","1"
"X-Pac","22","127","55","65","7"
"Bull Buchanan","23","124","62","59","3"
"Albert","24","123","35","87","1"
"Eddie Guerrero","25","122","66","54","2"
"Bradshaw","26","111","59","49","3"
"The Big Bossman","27","109","30","73","6"
"Buh Buh Ray Dudley","28","104","50","48","6"
"Rikishi","29","103","60","35","8"
"Faarooq","30","99","54","42","3"
"Essa Rios","31","87","32","53","2"
"Tazz","32","86","38","45","3"
"The Godfather","33","86","52","26","8"
"Hardcore Holly","34","85","23","57","5"
"Crash Holly","35","83","30","46","7"
"Crash","36","81","27","52","2"
"Funaki","37","81","19","62","0"
"Gangrel","38","72","18","53","1"
"The Undertaker","39","69","49","14","6"
"Bubba Ray Dudley","40","68","42","26","0"
"Lita","41","67","36","29","2"
"The Big Show","42","66","25","34","7"
"The Goodfather","43","66","39","27","0"
"Rikishi Phatu","44","63","49","10","4"
"Joey Abs","45","60","16","44","0"
"Chaz","46","59","26","33","0"
"Mosh","47","59","15","43","1"
"Taka Michinoku","48","58","13","44","1"
"Jack Dupp","49","57","35","22","0"
"Bo Dupp","50","56","34","22","0"
"Rodney","51","54","14","40","0"
"Mideon","52","53","13","40","0"
"Thrasher","53","53","10","42","1"
"Pete Gas","54","48","10","38","0"
"Billy Gunn","55","46","29","17","0"
"Jacqueline","56","46","27","19","0"
"Chyna","57","45","22","21","2"
"Ivory","58","44","20","23","1"
"Prince Albert","59","39","15","21","3"
"Raven","60","35","15","20","0"
"William Regal","61","34","22","11","1"
"Just Joe","62","32","13","19","0"
"Trish Stratus","63","32","4","27","1"
"Viscera","64","30","9","20","1"
"Steve Austin","65","27","17","4","6"
"Scott Vick","66","22","12","10","0"
"Mr. Ass","67","21","8","11","2"
"Stevie Richards","68","20","3","16","1"
"Jerry Lawler","69","18","14","4","0"
"Mark Henry","70","18","6","10","2"
"The Brooklyn Brawler","71","18","4","14","0"
"K-Kwik","72","17","10","7","0"
"Shane McMahon","73","17","5","9","3"
"K-Krush","74","16","15","1","0"
"Steven Richards","75","16","8","7","1"
"The Kat","76","15","7","8","0"
"Terri","77","13","7","6","0"
"Cactus Jack","78","12","7","4","1"
"The British Bulldog","79","12","8","2","2"
"Charlie Haas","80","10","6","4","0"
"Molly Holly","81","10","6","4","0"
"Russ Haas","82","10","6","4","0"
"Joe E. Legend","83","9","5","4","0"
"Stephanie McMahon-Helmsley","84","8","5","2","1"
"Gerald Brisco","85","6","2","2","2"
"Steven Regal","86","6","6","0","0"
"Julio Fantastico","87","5","0","5","0"
"Mae Young","88","5","3","2","0"
"Steve Bradley","89","5","0","5","0"
"Tracy Smothers","90","5","0","5","0"
"Vince McMahon","91","5","3","1","1"
"JR Ryder","92","4","0","4","0"
"Jason Lee","93","4","0","4","0"
"The Fabulous Moolah","95","4","1","3","0"
"Tiger Ali Singh","96","4","2","2","0"
"American Dragon","97","3","1","2","0"
"Bob Evans","98","3","0","3","0"
"Chris Michaels","99","3","0","3","0"
"Christopher Daniels","100","3","1","2","0"
"Chris Jericho","1","165","93","68","4"
"Kurt Angle","2","164","83","75","6"
"Jeff Hardy","3","162","85","73","4"
"D-Von Dudley","4","161","88","67","6"
"Matt Hardy","5","161","85","73","3"
"Bubba Ray Dudley","6","155","81","69","5"
"Kane","7","147","98","47","2"
"Test","8","146","80","64","2"
"Edge","9","143","77","63","3"
"Christian","10","141","67","71","3"
"Raven","11","132","54","74","4"
"The Big Show","12","130","77","51","2"
"Billy Gunn","13","129","75","52","2"
"Albert","14","128","77","49","2"
"The Undertaker","15","128","94","28","6"
"Crash","16","125","46","79","0"
"Bradshaw","17","118","79","37","2"
"Justin Credible","18","113","35","75","3"
"Perry Saturn","19","112","57","55","0"
"X-Pac","20","112","60","49","3"
"Steve Austin","21","107","58","47","2"
"Faarooq","22","101","64","36","1"
"Rhyno","23","97","49","45","3"
"Spike Dudley","24","92","39","53","0"
"The Rock","25","91","62","24","5"
"Rob Van Dam","26","87","61","21","5"
"Tajiri","27","85","43","42","0"
"Chris Benoit","28","81","47","32","2"
"Ivory","29","80","36","42","2"
"Lita","30","79","54","23","2"
"Funaki","31","78","16","61","1"
"Lance Storm","32","78","23","54","1"
"Scotty 2 Hotty","33","78","37","38","3"
"William Regal","34","76","27","47","2"
"Hardcore Holly","35","72","39","30","3"
"Chuck Palumbo","36","71","43","27","1"
"Booker T","37","69","34","32","3"
"Taka Michinoku","38","62","20","41","1"
"Steve Blackman","39","54","31","22","1"
"Hugh Morrus","40","50","10","40","0"
"Molly Holly","41","50","14","35","1"
"Bull Buchanan","42","49","6","43","0"
"Haku","43","49","17","32","0"
"K-Kwik","44","48","20","28","0"
"Tazz","45","48","21","25","2"
"Triple H","46","48","11","34","3"
"The Goodfather","47","47","7","40","0"
"The Hurricane","48","47","19","28","0"
"Tommy Dreamer","49","47","10","36","1"
"Grandmaster Sexay","50","44","21","22","1"
"Mike Awesome","51","44","7","36","1"
"Rikishi","52","44","13","31","0"
"Steven Richards","53","44","7","36","1"
"Eddie Guerrero","54","42","20","21","1"
"Essa Rios","55","42","18","24","0"
"Val Venis","56","42","10","32","0"
"Dean Malenko","57","40","14","26","0"
"Kanyon","58","40","17","23","0"
"Jacqueline","59","39","18","19","2"
"Shawn Stasiak","60","39","10","28","1"
"Trish Stratus","61","39","24","11","4"
"Billy Kidman","62","35","23","12","0"
"Jerry Lynn","63","34","19","15","0"
"Diamond Dallas Page","64","31","9","20","2"
"Brock Lesnar","65","30","23","7","0"
"Chavo Guerrero Jr.","66","28","11","17","0"
"Rico Costantino","67","25","5","20","0"
"Randy Orton","68","23","12","11","0"
"Sean O'Haire","69","23","12","10","1"
"Ron Waterman","70","20","12","8","0"
"The Big Bossman","71","20","4","16","0"
"Scott Vick","72","19","7","12","0"
"Steve Bradley","73","19","5","14","0"
"The Brooklyn Brawler","74","18","2","16","0"
"Al Snow","75","17","6","10","1"
"Stacy Keibler","76","17","4","13","0"
"Torrie Wilson","77","17","10","7","0"
"Chris Kanyon","78","16","4","11","1"
"Charlie Haas","79","15","9","6","0"
"Hurricane Helms","80","15","5","10","0"
"Mighty Molly","81","14","5","9","0"
"Russ McCullough","82","12","3","9","0"
"Russ Haas","83","11","9","2","0"
"Shane McMahon","84","11","5","6","0"
"Jazz","85","10","0","10","0"
"Buh Buh Ray Dudley","86","9","6","2","1"
"Chaz","87","9","5","4","0"
"Maven","88","9","1","7","1"
"Chyna","89","8","7","1","0"
"D-Lo Brown","90","8","5","3","0"
"Mark Jindrak","91","8","3","4","1"
"Bo Dupp","92","7","3","4","0"
"Stephanie McMahon-Helmsley","93","7","3","2","2"
"Terri","94","7","1","6","0"
"The Inferno Kid","95","7","2","5","0"
"Loki","96","6","1","5","0"
"Race Steele","97","6","0","6","0"
"Ekmo","98","5","5","0","0"
"Gregory Helms","99","5","0","5","0"
"Jerry Lawler","100","5","4","1","0"
"Rob Van Dam","1","181","121","60","0"
"Lance Storm","2","176","90","84","2"
"Kurt Angle","3","174","58","111","5"
"Christian","4","170","92","78","0"
"Booker T","5","167","84","78","5"
"Test","6","160","70","87","3"
"Edge","7","159","91","67","1"
"Chris Jericho","8","158","86","69","3"
"Rikishi","9","158","81","75","2"
"Billy Kidman","10","156","79","77","0"
"Spike Dudley","11","154","81","73","0"
"Tajiri","12","154","64","90","0"
"The Hurricane","13","154","89","64","1"
"Bubba Ray Dudley","14","152","53","98","1"
"William Regal","15","148","63","83","2"
"Albert","16","147","61","83","3"
"Chuck","17","144","101","43","0"
"Brock Lesnar","18","141","101","35","5"
"The Big Show","19","136","65","63","8"
"Billy","20","135","98","37","0"
"Trish Stratus","21","134","84","50","0"
"Goldust","22","128","56","70","2"
"Jeff Hardy","23","127","62","64","1"
"Funaki","24","124","40","84","0"
"Crash","25","122","42","79","1"
"Steven Richards","26","122","33","86","3"
"Chavo Guerrero","27","120","57","63","0"
"Triple H","28","119","81","35","3"
"Eddie Guerrero","29","118","55","63","0"
"Tommy Dreamer","30","118","53","60","5"
"Justin Credible","31","114","24","90","0"
"Randy Orton","32","109","40","69","0"
"Bradshaw","33","107","45","55","7"
"Matt Hardy","34","107","64","43","0"
"Raven","35","105","30","75","0"
"D-Lo Brown","36","104","69","34","1"
"Molly Holly","37","103","43","60","0"
"Jamie Noble","38","102","61","41","0"
"Kane","39","97","66","30","1"
"The Undertaker","40","92","56","32","4"
"Chris Benoit","41","89","46","40","3"
"Hardcore Holly","42","83","40","42","1"
"Shelton Benjamin","43","81","44","37","0"
"John Cena","44","78","40","38","0"
"Rey Mysterio","45","78","47","30","1"
"Val Venis","46","75","37","37","1"
"Jacqueline","47","74","37","37","0"
"Shawn Stasiak","48","74","16","51","7"
"Shannon Moore","49","73","33","40","0"
"Faarooq","50","70","35","35","0"
"Batista","51","69","51","18","0"
"Christopher Nowinski","52","69","30","37","2"
"D-Von Dudley","53","68","30","38","0"
"Reverend D-Von","54","67","30","37","0"
"Mark Henry","55","60","34","26","0"
"Rico","56","58","24","34","0"
"Johnny Stamboli","57","56","21","35","0"
"Steve Austin","58","56","42","10","4"
"Jazz","59","55","36","18","1"
"Maven","60","55","15","37","3"
"Scotty 2 Hotty","61","53","22","31","0"
"Victoria","62","53","18","35","0"
"Bull Buchanan","63","50","19","31","0"
"Torrie Wilson","64","50","44","6","0"
"Al Snow","65","48","11","34","3"
"Dawn Marie","66","48","13","35","0"
"Hugh Morrus","67","48","15","31","2"
"Ric Flair","68","48","12","34","2"
"Mr. Perfect","69","46","15","30","1"
"The Big Valbowski","70","45","21","23","1"
"Matt Hardy Version 1.0","71","44","18","26","0"
"Sean O'Haire","72","42","20","22","0"
"Diamond Dallas Page","73","41","26","13","2"
"Rosey","74","40","26","14","0"
"Jamal","75","39","25","14","0"
"X-Pac","76","39","21","16","2"
"The Big Bossman","77","36","10","26","0"
"The Rock","78","36","23","11","2"
"Tazz","79","34","20","14","0"
"Ron Waterman","80","33","8","25","0"
"Hulk Hogan","81","31","20","8","3"
"Doug Basham","82","29","7","22","0"
"Scott Hall","83","27","10","14","3"
"Perry Saturn","84","25","12","13","0"
"Redd Dogg","85","24","5","19","0"
"Rico Costantino","86","24","8","16","0"
"Charlie Haas","87","23","15","8","0"
"Rob Conway","88","23","4","19","0"
"The Godfather","89","23","9","14","0"
"Bill DeMott","90","22","14","8","0"
"Chuck Palumbo","91","22","11","11","0"
"D-Von","92","21","6","15","0"
"Lita","93","21","15","6","0"
"Mark Jindrak","94","21","17","4","0"
"Stacy Keibler","95","20","3","17","0"
"Ron Simmons","96","19","8","11","0"
"Ivory","97","16","5","10","1"
"Nidia","98","16","3","13","0"
"Mighty Molly","99","14","1","12","1"
"Nunzio","100","14","5","9","0"
"Charlie Haas","1","154","90","63","1"
"Chris Benoit","2","152","100","50","2"
"Rob Van Dam","3","149","102","43","4"
"Eddie Guerrero","4","146","90","55","1"
"Shelton Benjamin","5","145","83","61","1"
"Jamie Noble","6","141","37","101","3"
"A-Train","7","140","47","92","1"
"Rey Mysterio","8","138","84","51","3"
"Brock Lesnar","9","137","96","39","2"
"John Cena","10","137","54","82","1"
"D-Von Dudley","11","134","80","53","1"
"Christian","12","132","55","74","3"
"Bubba Ray Dudley","13","130","76","53","1"
"Tajiri","14","127","74","51","2"
"Lance Storm","15","125","65","59","1"
"Matt Hardy Version 1.0","16","124","75","47","2"
"Maven","17","122","66","56","0"
"Kane","18","121","68","51","2"
"Rico","19","121","36","85","0"
"Test","20","120","45","74","1"
